# Press Shift+Enter to add data
# Press Ctrl+S to save

#T(°C)	Uh(mV)	Up(mV)

130.1	-10	448
130.1	-10	448
130.1	-10	448
130.3	-10	450
130.3	-10	450
130.3	-10	450
130.3	-10	450
130.3	-10	450
129.0	-10	452
129.0	-10	452
129.0	-10	452
129.0	-10	452
129.8	-10	453
129.8	-10	453
129.8	-10	453
129.8	-10	453
129.8	-10	453
129.0	-10	455
129.0	-10	455
129.0	-10	455
129.0	-10	455
129.0	-10	455
129.3	-10	457
129.3	-10	457
129.3	-10	457
129.3	-10	457
128.9	-10	458
128.9	-10	458
128.9	-10	458
128.9	-10	458
129.1	-10	459
129.1	-10	459
129.1	-10	459
129.1	-10	459
129.1	-10	459
127.8	-10	461
127.8	-10	461
127.8	-10	461
127.8	-10	461
128.7	-10	462
128.7	-10	462
128.7	-10	462
128.7	-10	462
128.7	-10	462
128.2	-10	464
128.2	-10	464
128.2	-10	464
128.2	-10	464
128.1	-10	466
128.1	-10	466
128.1	-10	466
128.1	-10	466
128.1	-10	466
128.4	-10	467
128.4	-10	467
128.4	-10	467
128.4	-10	467
128.4	-10	467
128.3	-10	469
128.3	-10	469
128.3	-10	469
128.3	-10	469
127.1	-10	471
127.1	-10	471
127.1	-10	471
127.1	-10	471
126.5	-10	473
126.5	-10	473
126.5	-10	473
126.5	-10	473
126.5	-10	473
128.1	-10	474
128.1	-10	474
128.1	-10	474
128.1	-10	474
127.4	-10	476
127.4	-10	476
127.4	-10	476
127.4	-10	476
127.4	-10	476
127.0	-10	478
127.0	-10	478
127.0	-10	478
127.0	-10	478
127.0	-10	478
127.0	-10	479
127.0	-10	479
127.0	-10	479
127.0	-10	479
126.2	-10	481
126.2	-10	481
126.2	-10	481
126.2	-10	481
126.2	-10	481
126.0	-10	483
126.0	-10	483
126.0	-10	483
126.0	-10	483
126.0	-10	483
125.7	-10	484
125.7	-10	484
125.7	-10	484
125.7	-10	484
126.2	-11	487
126.2	-11	487
126.2	-11	487
126.2	-11	487
125.8	-11	489
125.8	-11	489
125.8	-11	489
125.8	-11	489
125.8	-11	489
126.8	-11	490
126.8	-11	490
126.8	-11	490
126.8	-11	490
126.8	-11	490
126.1	-11	492
126.1	-11	492
126.1	-11	492
126.1	-11	492
125.7	-11	494
125.7	-11	494
125.7	-11	494
125.7	-11	494
125.0	-11	496
125.0	-11	496
125.0	-11	496
125.0	-11	496
125.0	-11	496
124.4	-11	498
124.4	-11	498
124.4	-11	498
124.4	-11	498
124.4	-11	498
124.5	-11	499
124.5	-11	499
124.5	-11	499
124.5	-11	499
124.5	-11	499
125.6	-11	501
125.6	-11	501
125.6	-11	501
125.6	-11	501
124.1	-11	504
124.1	-11	504
124.1	-11	504
124.1	-11	504
124.1	-11	504
124.5	-11	504
124.5	-11	504
124.5	-11	504
124.5	-11	504
124.5	-11	504
124.2	-11	506
124.2	-11	506
124.2	-11	506
124.2	-11	506
123.8	-11	508
123.8	-11	508
123.8	-11	508
123.8	-11	508
123.8	-11	508
124.3	-11	510
124.3	-11	510
124.3	-11	510
124.3	-11	510
124.6	-11	512
124.6	-11	512
124.6	-11	512
124.6	-11	512
124.6	-11	512
124.2	-11	514
124.2	-11	514
124.2	-11	514
124.2	-11	514
124.2	-11	514
123.3	-11	516
123.3	-11	516
123.3	-11	516
123.3	-11	516
123.2	-11	518
123.2	-11	518
123.2	-11	518
123.2	-11	518
123.2	-11	518
123.3	-11	520
123.3	-11	520
123.3	-11	520
123.3	-11	520
123.3	-11	520
123.0	-11	522
123.0	-11	522
123.0	-11	522
123.0	-11	522
123.0	-11	522
123.1	-12	524
123.1	-12	524
123.1	-12	524
123.1	-12	524
123.2	-12	526
123.2	-12	526
123.2	-12	526
123.2	-12	526
123.2	-12	526
122.7	-12	528
122.7	-12	528
122.7	-12	528
122.7	-12	528
122.7	-12	528
122.5	-12	530
122.5	-12	530
122.5	-12	530
122.5	-12	530
122.5	-12	530
122.4	-12	532
122.4	-12	532
122.4	-12	532
122.4	-12	532
122.4	-12	533
122.4	-12	533
122.4	-12	533
122.4	-12	533
122.4	-12	533
121.7	-12	536
121.7	-12	536
121.7	-12	536
121.7	-12	536
121.4	-12	539
121.4	-12	539
121.4	-12	539
121.4	-12	539
121.4	-12	539
121.1	-12	540
121.1	-12	540
121.1	-12	540
121.1	-12	540
121.1	-12	540
121.3	-12	542
121.3	-12	542
121.3	-12	542
121.3	-12	542
121.4	-12	544
121.4	-12	544
121.4	-12	544
121.4	-12	544
121.5	-12	546
121.5	-12	546
121.5	-12	546
121.5	-12	546
121.5	-12	546
121.4	-12	548
121.4	-12	548
121.4	-12	548
121.4	-12	548
121.4	-12	548
120.9	-12	550
120.9	-12	550
120.9	-12	550
120.9	-12	550
120.5	-12	552
120.5	-12	552
120.5	-12	552
120.5	-12	552
120.5	-12	552
120.6	-12	554
120.6	-12	554
120.6	-12	554
120.6	-12	554
120.6	-12	554
120.3	-12	556
120.3	-12	556
120.3	-12	556
120.3	-12	556
119.8	-12	558
119.8	-12	558
119.8	-12	558
119.8	-12	558
120.4	-12	560
120.4	-12	560
120.4	-12	560
120.4	-12	560
120.4	-12	560
120.4	-12	560
120.0	-12	561
120.0	-12	561
120.0	-12	561
120.0	-12	561
120.0	-13	564
120.0	-13	564
120.0	-13	564
120.0	-13	564
120.0	-13	564
119.8	-13	567
119.8	-13	567
119.8	-13	567
119.8	-13	567
119.8	-13	567
119.4	-13	568
119.4	-13	568
119.4	-13	568
119.4	-13	568
119.3	-13	570
119.3	-13	570
119.3	-13	570
119.3	-13	570
119.3	-13	570
119.6	-13	572
119.6	-13	572
119.6	-13	572
119.6	-13	572
119.6	-13	572
119.1	-13	574
119.1	-13	574
119.1	-13	574
119.1	-13	574
118.9	-13	577
118.9	-13	577
118.9	-13	577
118.9	-13	577
118.9	-13	578
118.9	-13	578
118.9	-13	578
118.9	-13	578
118.9	-13	578
118.9	-13	581
118.9	-13	581
118.9	-13	581
118.9	-13	581
118.4	-13	583
118.4	-13	583
118.4	-13	583
118.4	-13	583
118.4	-13	583
118.1	-13	585
118.1	-13	585
118.1	-13	585
118.1	-13	585
118.2	-13	587
118.2	-13	587
118.2	-13	587
118.2	-13	587
118.2	-13	587
118.0	-13	589
118.0	-13	589
118.0	-13	589
118.0	-13	589
118.0	-13	589
117.6	-13	591
117.6	-13	591
117.6	-13	591
117.6	-13	591
117.7	-13	593
117.7	-13	593
117.7	-13	593
117.7	-13	593
117.7	-13	593
117.3	-13	595
117.3	-13	595
117.3	-13	595
117.3	-13	595
117.3	-13	595
117.2	-13	597
117.2	-13	597
117.2	-13	597
117.2	-13	597
117.1	-13	599
117.1	-13	599
117.1	-13	599
117.1	-13	599
117.1	-13	599
116.9	-14	602
116.9	-14	602
116.9	-14	602
116.9	-14	602
116.7	-14	604
116.7	-14	604
116.7	-14	604
116.7	-14	604
116.7	-14	604
116.7	-14	606
116.7	-14	606
116.7	-14	606
116.7	-14	606
116.5	-14	608
116.5	-14	608
116.5	-14	608
116.5	-14	608
116.5	-14	608
116.3	-14	610
116.3	-14	610
116.3	-14	610
116.3	-14	610
116.3	-14	610
116.1	-14	613
116.1	-14	613
116.1	-14	613
116.1	-14	613
116.6	-14	615
116.6	-14	615
116.6	-14	615
116.6	-14	615
116.6	-14	615
116.3	-14	616
116.3	-14	616
116.3	-14	616
116.3	-14	616
116.3	-14	616
116.1	-14	619
116.1	-14	619
116.1	-14	619
116.1	-14	619
116.0	-14	621
116.0	-14	621
116.0	-14	621
116.0	-14	621
116.0	-14	621
115.6	-14	623
115.6	-14	623
115.6	-14	623
115.6	-14	623
115.6	-14	625
115.6	-14	625
115.6	-14	625
115.6	-14	625
115.6	-14	625
115.3	-14	627
115.3	-14	627
115.3	-14	627
115.3	-14	627
115.3	-14	627
115.4	-14	630
115.4	-14	630
115.4	-14	630
115.4	-14	630
115.1	-14	632
115.1	-14	632
115.1	-14	632
115.1	-14	632
115.1	-14	632
115.0	-14	633
115.0	-14	633
115.0	-14	633
115.0	-14	633
114.8	-15	636
114.8	-15	636
114.8	-15	636
114.8	-15	636
114.8	-15	636
114.3	-15	639
114.3	-15	639
114.3	-15	639
114.3	-15	639
114.8	-15	641
114.8	-15	641
114.8	-15	641
114.8	-15	641
114.8	-15	641
114.2	-15	643
114.2	-15	643
114.2	-15	643
114.2	-15	643
114.2	-15	643
114.5	-15	645
114.5	-15	645
114.5	-15	645
114.5	-15	645
114.5	-15	645
114.3	-15	648
114.3	-15	648
114.3	-15	648
114.3	-15	648
114.4	-15	650
114.4	-15	650
114.4	-15	650
114.4	-15	650
114.4	-15	650
114.0	-15	652
114.0	-15	652
114.0	-15	652
114.0	-15	652
113.7	-15	654
113.7	-15	654
113.7	-15	654
113.7	-15	654
113.7	-15	654
113.5	-15	657
113.5	-15	657
113.5	-15	657
113.5	-15	657
113.5	-15	657
113.0	-15	659
113.0	-15	659
113.0	-15	659
113.0	-15	659
112.8	-15	661
112.8	-15	661
112.8	-15	661
112.8	-15	661
112.8	-15	661
113.3	-15	663
113.3	-15	663
113.3	-15	663
113.3	-15	663
112.8	-15	665
112.8	-15	665
112.8	-15	665
112.8	-15	665
112.8	-15	665
113.1	-15	668
113.1	-15	668
113.1	-15	668
113.1	-15	668
113.1	-15	668
112.1	-16	670
112.1	-16	670
112.1	-16	670
112.1	-16	670
112.3	-16	672
112.3	-16	672
112.3	-16	672
112.3	-16	672
112.3	-16	672
112.2	-16	675
112.2	-16	675
112.2	-16	675
112.2	-16	675
112.2	-16	677
112.2	-16	677
112.2	-16	677
112.2	-16	677
112.2	-16	677
111.9	-16	679
111.9	-16	679
111.9	-16	679
111.9	-16	679
111.9	-16	679
111.9	-16	681
111.9	-16	681
111.9	-16	681
111.9	-16	681
111.9	-16	681
111.5	-16	684
111.5	-16	684
111.5	-16	684
111.5	-16	684
111.8	-16	686
111.8	-16	686
111.8	-16	686
111.8	-16	686
111.8	-16	686
111.4	-16	689
111.4	-16	689
111.4	-16	689
111.4	-16	689
111.4	-16	689
111.3	-16	691
111.3	-16	691
111.3	-16	691
111.3	-16	691
111.2	-16	693
111.2	-16	693
111.2	-16	693
111.2	-16	693
110.5	-16	696
110.5	-16	696
110.5	-16	696
110.5	-16	696
110.5	-16	696
110.6	-16	698
110.6	-16	698
110.6	-16	698
110.6	-16	698
110.6	-16	698
110.4	-16	700
110.4	-16	700
110.4	-16	700
110.4	-16	700
110.7	-16	702
110.7	-16	702
110.7	-16	702
110.7	-16	702
110.5	-17	704
110.5	-17	704
110.5	-17	704
110.5	-17	704
110.5	-17	704
110.6	-17	707
110.6	-17	707
110.6	-17	707
110.6	-17	707
110.6	-17	707
110.3	-17	709
110.3	-17	709
110.3	-17	709
110.3	-17	709
110.3	-17	709
110.0	-17	711
110.0	-17	711
110.0	-17	711
110.0	-17	711
110.1	-17	713
110.1	-17	713
110.1	-17	713
110.1	-17	713
110.1	-17	713
109.6	-17	716
109.6	-17	716
109.6	-17	716
109.6	-17	716
109.5	-17	718
109.5	-17	718
109.5	-17	718
109.5	-17	718
109.5	-17	718
109.3	-17	720
109.3	-17	720
109.3	-17	720
109.3	-17	720
109.3	-17	720
109.2	-17	723
109.2	-17	723
109.2	-17	723
109.2	-17	723
108.9	-17	725
108.9	-17	725
108.9	-17	725
108.9	-17	725
109.2	-17	727
109.2	-17	727
109.2	-17	727
109.2	-17	727
109.2	-17	727
108.7	-17	730
108.7	-17	730
108.7	-17	730
108.7	-17	730
108.7	-17	730
108.8	-17	732
108.8	-17	732
108.8	-17	732
108.8	-17	732
108.8	-17	732
108.8	-17	735
108.8	-17	735
108.8	-17	735
108.8	-17	735
108.4	-18	737
108.4	-18	737
108.4	-18	737
108.4	-18	737
108.4	-18	737
108.5	-18	740
108.5	-18	740
108.5	-18	740
108.5	-18	740
108.5	-18	740
108.3	-18	742
108.3	-18	742
108.3	-18	742
108.3	-18	742
107.9	-18	744
107.9	-18	744
107.9	-18	744
107.9	-18	744
108.2	-18	746
108.2	-18	746
108.2	-18	746
108.2	-18	746
108.2	-18	746
108.4	-18	748
108.4	-18	748
108.4	-18	748
108.4	-18	748
108.4	-18	748
107.2	-18	751
107.2	-18	751
107.2	-18	751
107.2	-18	751
107.2	-18	751
107.4	-18	754
106.3	-19	778
105.7	-19	785
105.7	-19	785
105.7	-19	785
105.7	-19	785
105.9	-19	790
105.9	-19	790
105.9	-19	790
105.9	-19	790
105.9	-19	790
105.5	-19	792
105.5	-19	792
105.5	-19	792
105.5	-19	792
105.4	-19	794
105.4	-19	794
105.4	-19	794
105.4	-19	794
105.7	-19	797
105.7	-19	797
105.7	-19	797
105.7	-19	797
105.7	-19	797
105.1	-19	799
105.1	-19	799
105.1	-19	799
105.1	-19	799
105.0	-20	801
105.0	-20	801
105.0	-20	801
105.0	-20	801
105.0	-20	801
104.8	-20	804
104.8	-20	804
104.8	-20	804
104.8	-20	804
104.8	-20	804
104.9	-20	805
104.9	-20	805
104.9	-20	805
104.9	-20	805
104.3	-20	809
104.3	-20	809
104.3	-20	809
104.3	-20	809
104.3	-20	809
104.2	-20	811
104.2	-20	811
104.2	-20	811
104.2	-20	811
104.2	-20	811
104.5	-20	814
104.5	-20	814
104.5	-20	814
104.5	-20	814
104.1	-20	816
104.1	-20	816
104.1	-20	816
104.1	-20	816
103.9	-20	818
103.9	-20	818
103.9	-20	818
103.9	-20	818
103.9	-20	818
103.8	-20	821
103.8	-20	821
103.8	-20	821
103.8	-20	821
103.8	-20	821
103.8	-20	824
103.8	-20	824
103.8	-20	824
103.8	-20	824
103.4	-20	827
103.4	-20	827
103.4	-20	827
103.4	-20	827
103.4	-20	827
103.6	-20	828
103.6	-20	828
103.6	-20	828
103.6	-20	828
103.7	-21	831
103.7	-21	831
103.7	-21	831
103.7	-21	831
103.7	-21	831
103.2	-21	833
103.2	-21	833
103.2	-21	833
103.2	-21	833
103.2	-21	833
103.1	-21	835
103.1	-21	835
103.1	-21	835
103.1	-21	835
102.9	-21	839
102.9	-21	839
102.9	-21	839
102.9	-21	839
102.7	-21	839
102.7	-21	839
102.7	-21	839
102.7	-21	839
102.7	-21	839
102.8	-21	842
102.8	-21	842
102.8	-21	842
102.8	-21	842
102.8	-21	842
102.6	-21	845
102.6	-21	845
102.6	-21	845
102.6	-21	845
102.4	-21	847
102.4	-21	847
102.4	-21	847
102.4	-21	847
102.4	-21	847
102.3	-21	849
102.3	-21	849
102.3	-21	849
102.3	-21	849
102.3	-21	849
102.0	-21	853
102.0	-21	853
102.0	-21	853
102.0	-21	853
102.0	-21	855
102.0	-21	855
102.0	-21	855
102.0	-21	855
102.0	-21	855
102.0	-21	857
102.0	-21	857
102.0	-21	857
102.0	-21	857
102.0	-21	860
102.0	-21	860
102.0	-21	860
102.0	-21	860
102.0	-21	860
101.6	-22	863
101.6	-22	863
101.6	-22	863
101.6	-22	863
101.6	-22	863
101.8	-22	864
101.8	-22	864
101.8	-22	864
101.8	-22	864
101.6	-22	867
101.6	-22	867
101.6	-22	867
101.6	-22	867
101.6	-22	867
101.3	-22	870
101.3	-22	870
101.3	-22	870
101.3	-22	870
101.3	-22	870
101.1	-22	871
101.1	-22	871
101.1	-22	871
101.1	-22	871
101.1	-22	874
101.1	-22	874
101.1	-22	874
101.1	-22	874
101.1	-22	874
100.8	-22	877
100.8	-22	877
100.8	-22	877
100.8	-22	877
100.8	-22	877
100.9	-22	879
100.9	-22	879
100.9	-22	879
100.9	-22	879
100.7	-22	882
100.7	-22	882
100.7	-22	882
100.7	-22	882
100.7	-22	882
100.4	-22	884
100.4	-22	884
100.4	-22	884
100.4	-22	884
100.2	-22	887
100.2	-22	887
100.2	-22	887
100.2	-22	887
100.2	-22	887
100.4	-22	889
100.4	-22	889
100.4	-22	889
100.4	-22	889
100.4	-22	889
100.1	-23	892
100.1	-23	892
100.1	-23	892
100.1	-23	892
100.1	-23	892
100.1	-23	893
100.1	-23	893
100.1	-23	893
100.1	-23	893
99.6	-23	896
99.6	-23	896
99.6	-23	896
99.6	-23	896
99.6	-23	896
99.6	-23	898
99.6	-23	898
99.6	-23	898
99.6	-23	898
