# Press Shift+Enter to add data
# Press Ctrl+S to save

#B(mT) T(°C)	Uh(mV)	Up(mV)
300 26.7	63	1546
250 22.0	54	1538
200 22.3	44	1528
150 22.2	34	1517
101 22.4	24	1513
51 22.6	13	1508
3 22.8	2	1506
-1 22.7	0	1506
-50 22.7	-12	1508
-100 22.6	-24	1513
-150 22.6	-35	1520
-203 22.6	-45	1528
-251 22.8	-52	1535
-303 22.9	-65	1551

# I = 30mA
