# Press Shift+Enter to add data
# Press Ctrl+S to save

#B(mT) T(°C)	Uh(mV)	Up(mV)
300 23.4	-62	1315
248 24.7	-52	1309
199 24.1	-41	1304
150 23.7	-32	1302
100 23.8	-22	1298
52 26.2	-12	1297
1 24.3	-2	1295
-52 24.2	10	1295
-99 24.0	20	1297
-150 24.2	30	1299
-199 24.1	39	1302
-249 24.4	51	1306
-301 24.8	63	1313
