# Press Shift+Enter to add data
# Press Ctrl+S to save

#I(mA) T(°C)	Uh(mV)	Up(mV)
30 22.8	-62	1304
25 22.8	-52	1084
19 22.6	-40	838
14 24.7	-28	600
10 22.9	-18	387
6 22.7	-9	191
0 23.1	4	-83
-5 23.1	16	-330
-10 22.8	27	-568
-15 25.1	37	-778
-20 23.2	46	-983
-25 23.3	58	-1223
-30 23.6	68	-1446
