# Press Shift+Enter to add data
# Press Ctrl+S to save

#Ip(mA) T(°C)	Uh(mV)	Up(mV)
-30 21.9	-73	-1768
-24 21.7	-58	-1392
-21 21.8	-49	-1195
-15 19.7	-38	-915
-10 21.6	-25	-613
-5 21.4	-15	-359
0 21.6	-2	-53
5 21.5	8	209
10 21.7	20	483
15 21.7	28	691
20 21.3	43	1036
25 21.5	52	1264
30 21.6	64	1547

# B = 301mT
