Record Length,2500,Points,-2.90000003E-6,0.0,,Record Length,2500,Points,-2.90000003E-6,191.99998677E-3,,Record Length,2500,Points,-2.90000003E-6,-79.999998212E-3,
Sample Interval,9.999999939E-9,s,-2.89000013E-6,0.0,,Sample Interval,9.999999939E-9,s,-2.89000013E-6,191.99998677E-3,,Sample Interval,9.999999939E-9,s,-2.89000013E-6,79.999998212E-3,
Trigger Point,290.00000444,Samples,-2.88000001E-6,7.999999449E-3,,Trigger Point,290.00000444,Samples,-2.88000001E-6,199.99998808E-3,,Trigger Point,290.00000444,Samples,-2.88000001E-6,0.0,
,,,-2.87000012E-6,0.0,,,,,-2.87000012E-6,191.99998677E-3,,,,,-2.87000012E-6,0.0,
,,,-2.86000000E-6,0.0,,,,,-2.86000000E-6,183.99998546E-3,,,,,-2.86000000E-6,-79.999998212E-3,
,,,-2.85000010E-6,0.0,,,,,-2.85000010E-6,191.99998677E-3,,,,,-2.85000010E-6,-79.999998212E-3,
Source,CH1,,-2.83999998E-6,7.999999449E-3,,Source,CH3,,-2.83999998E-6,191.99998677E-3,,Source,CH4,,-2.83999998E-6,159.99999642E-3,
Vertical Units,Volts,,-2.83000008E-6,7.999999449E-3,,Vertical Units,Volts,,-2.83000008E-6,199.99998808E-3,,Vertical Units,Volts,,-2.83000008E-6,0.0,
Vertical Scale,204.78123589E-3,,-2.81999996E-6,0.0,,Vertical Scale,204.78123589E-3,,-2.81999996E-6,183.99998546E-3,,Vertical Scale,2.0478125,,-2.81999996E-6,0.0,
Vertical Offset,0,,-2.81000007E-6,7.999999449E-3,,Vertical Offset,0,,-2.81000007E-6,191.99998677E-3,,Vertical Offset,0,,-2.81000007E-6,-79.999998212E-3,
Horizontal Units,s,,-2.79999995E-6,7.999999449E-3,,Horizontal Units,s,,-2.79999995E-6,191.99998677E-3,,Horizontal Units,s,,-2.79999995E-6,-79.999998212E-3,
Horizontal Scale,2.5000000E-6,,-2.79000005E-6,7.999999449E-3,,Horizontal Scale,2.5000000E-6,,-2.79000005E-6,191.99998677E-3,,Horizontal Scale,2.5000000E-6,,-2.79000005E-6,79.999998212E-3,
