Record Length,2500,Points,9.999999747E-6,0.0,,Record Length,2500,Points,9.999999747E-6,0.0,,Record Length,2500,Points,9.999999747E-6,-4.59999990,
Sample Interval,3.99999989E-9,s,10.0039997E-6,7.999999449E-3,,Sample Interval,3.99999989E-9,s,10.0039997E-6,79.999998212E-3,,Sample Interval,3.99999989E-9,s,10.0039997E-6,-4.59999990,
Trigger Point,-2.5000001E3,Samples,10.0079997E-6,7.999999449E-3,,Trigger Point,-2.5000001E3,Samples,10.0079997E-6,79.999998212E-3,,Trigger Point,-2.5000001E3,Samples,10.0079997E-6,-4.39999962,
,,,10.0119996E-6,-7.999999449E-3,,,,,10.0119996E-6,0.0,,,,,10.0119996E-6,-4.79999971,
,,,10.0159996E-6,0.0,,,,,10.0159996E-6,79.999998212E-3,,,,,10.0159996E-6,-4.59999990,
,,,10.0199995E-6,0.0,,,,,10.0199995E-6,79.999998212E-3,,,,,10.0199995E-6,-4.39999962,
Source,CH1,,10.0239995E-6,0.0,,Source,CH3,,10.0239995E-6,79.999998212E-3,,Source,CH4,,10.0239995E-6,-4.59999990,
Vertical Units,Volts,,10.0279995E-6,0.0,,Vertical Units,Volts,,10.0279995E-6,0.0,,Vertical Units,Volts,,10.0279995E-6,-4.59999990,
Vertical Scale,204.78123589E-3,,10.0319994E-6,-7.999999449E-3,,Vertical Scale,2.0478125,,10.0319994E-6,79.999998212E-3,,Vertical Scale,5.11953094,,10.0319994E-6,-4.59999990,
Vertical Offset,0,,10.0359994E-6,-7.999999449E-3,,Vertical Offset,0,,10.0359994E-6,-79.999998212E-3,,Vertical Offset,0,,10.0359994E-6,-4.59999990,
Horizontal Units,s,,10.0399993E-6,7.999999449E-3,,Horizontal Units,s,,10.0399993E-6,0.0,,Horizontal Units,s,,10.0399993E-6,-4.79999971,
Horizontal Scale,999.999971718E-9,,10.0440002E-6,0.0,,Horizontal Scale,999.999971718E-9,,10.0440002E-6,79.999998212E-3,,Horizontal Scale,999.999971718E-9,,10.0440002E-6,-4.59999990,
Pt Fmt,Y,,10.0480001E-6,0.0,,Pt Fmt,Y,,10.0480001E-6,79.999998212E-3,,Pt Fmt,Y,,10.0480001E-6,-4.39999962,
Yzero,898.519761941E-3,,10.0520001E-6,0.0,,Yzero,-2.92995575,,10.0520001E-6,-79.999998212E-3,,Yzero,0.0,,10.0520001E-6,-4.39999962,
Probe Atten,1.000000,,10.0560001E-6,7.999999449E-3,,Probe Atten,1.000000,,10.0560001E-6,-79.999998212E-3,,Probe Atten,1.000000,,10.0560001E-6,-4.79999971,
,,,10.0600000E-6,0.0,,,,,10.0600000E-6,-79.999998212E-3,,,,,10.0600000E-6,-4.59999990,
Note,TDS 2014B - 16:57:49   11/06/2025,,10.0640000E-6,7.999999449E-3,,Note,TDS 2014B - 16:57:49   11/06/2025,,10.0640000E-6,159.99999642E-3,,Note,TDS 2014B - 16:57:49   11/06/2025,,10.0640000E-6,-4.39999962,
,,,10.0679999E-6,0.0,,,,,10.0679999E-6,79.999998212E-3,,,,,10.0679999E-6,-4.59999990,
,,,10.0719999E-6,7.999999449E-3,,,,,10.0719999E-6,0.0,,,,,10.0719999E-6,-4.39999962,
,,,10.0759999E-6,0.0,,,,,10.0759999E-6,79.999998212E-3,,,,,10.0759999E-6,-4.59999990,
,,,10.0799998E-6,-7.999999449E-3,,,,,10.0799998E-6,0.0,,,,,10.0799998E-6,-4.19999981,
,,,10.0839998E-6,0.0,,,,,10.0839998E-6,0.0,,,,,10.0839998E-6,-4.79999971,
,,,10.0879997E-6,0.0,,,,,10.0879997E-6,0.0,,,,,10.0879997E-6,-4.59999990,
,,,10.0919997E-6,-7.999999449E-3,,,,,10.0919997E-6,0.0,,,,,10.0919997E-6,-4.59999990,
,,,10.0959996E-6,0.0,,,,,10.0959996E-6,-79.999998212E-3,,,,,10.0959996E-6,-4.59999990,
,,,10.0999996E-6,0.0,,,,,10.0999996E-6,0.0,,,,,10.0999996E-6,-4.59999990,
,,,10.1039996E-6,0.0,,,,,10.1039996E-6,0.0,,,,,10.1039996E-6,-4.59999990,
,,,10.1079995E-6,0.0,,,,,10.1079995E-6,0.0,,,,,10.1079995E-6,-4.39999962,
,,,10.1119995E-6,-7.999999449E-3,,,,,10.1119995E-6,-79.999998212E-3,,,,,10.1119995E-6,-4.99999952,
,,,10.1159994E-6,-7.999999449E-3,,,,,10.1159994E-6,79.999998212E-3,,,,,10.1159994E-6,-4.79999971,
,,,10.1199994E-6,0.0,,,,,10.1199994E-6,79.999998212E-3,,,,,10.1199994E-6,-4.59999990,
,,,10.1239993E-6,0.0,,,,,10.1239993E-6,-79.999998212E-3,,,,,10.1239993E-6,-4.79999971,
,,,10.1279993E-6,0.0,,,,,10.1279993E-6,79.999998212E-3,,,,,10.1279993E-6,-4.59999990,
,,,10.1320002E-6,7.999999449E-3,,,,,10.1320002E-6,0.0,,,,,10.1320002E-6,-4.79999971,
,,,10.1360001E-6,0.0,,,,,10.1360001E-6,0.0,,,,,10.1360001E-6,-4.59999990,
,,,10.1400001E-6,-7.999999449E-3,,,,,10.1400001E-6,0.0,,,,,10.1400001E-6,-4.59999990,
,,,10.1440000E-6,0.0,,,,,10.1440000E-6,79.999998212E-3,,,,,10.1440000E-6,-4.59999990,
