Time(s),CHAN1(V),CHAN2(V)
-0.024437,-0.689917,-0.029900
-0.024434,-0.689917,-0.029900
-0.024430,-0.689917,-0.029900
-0.024427,-0.689917,-0.029900
-0.024424,-0.689917,-0.029900
-0.024421,-0.689917,-0.029900
-0.024418,-0.689917,-0.029900
-0.024414,-0.689917,-0.009799
-0.024411,-0.689917,-0.029900
-0.024408,-0.689917,-0.029900
-0.024405,-0.689917,-0.029900
-0.024402,-0.689917,-0.050000
-0.024398,-0.689917,-0.029900
-0.024395,-0.689917,-0.029900
-0.024392,-0.689917,-0.029900
-0.024389,-0.689917,-0.009799
-0.024386,-0.689917,-0.009799
-0.024382,-0.689917,-0.009799
-0.024379,-0.689917,-0.029900
-0.024376,-0.689917,-0.009799
-0.024373,-0.689917,-0.029900
-0.024370,-0.689917,-0.029900
-0.024366,-0.689917,-0.009799
-0.024363,-0.669816,-0.029900
-0.024360,-0.689917,-0.029900
-0.024357,-0.689917,-0.029900
-0.024354,-0.689917,-0.009799
-0.024350,-0.689917,-0.009799
-0.024347,-0.689917,-0.029900
-0.024344,-0.689917,-0.009799
-0.024341,-0.689917,-0.029900
-0.024338,-0.689917,-0.029900
-0.024334,-0.689917,-0.029900
-0.024331,-0.689917,-0.009799
-0.024328,-0.689917,-0.029900
-0.024325,-0.689917,-0.009799
-0.024322,-0.689917,-0.009799
-0.024318,-0.689917,-0.029900
-0.024315,-0.669816,-0.029900
-0.024312,-0.669816,-0.029900
-0.024309,-0.689917,-0.029900
-0.024306,-0.689917,-0.029900
-0.024302,-0.689917,-0.029900
-0.024299,-0.669816,-0.029900
-0.024296,-0.669816,-0.029900
-0.024293,-0.689917,-0.050000
-0.024290,-0.689917,-0.029900
-0.024286,-0.669816,-0.029900
-0.024283,-0.689917,-0.009799
-0.024280,-0.669816,-0.029900
-0.024277,-0.669816,-0.029900
-0.024274,-0.689917,-0.029900
-0.024270,-0.689917,-0.029900
-0.024267,-0.669816,-0.029900
-0.024264,-0.689917,-0.029900
