Time(s),CHAN1(V),CHAN2(V)
-0.025000,-0.187405,-0.009799
-0.024997,-0.187405,-0.009799
-0.024994,-0.187405,-0.009799
-0.024990,-0.187405,-0.009799
-0.024987,-0.187405,-0.029900
-0.024984,-0.187405,-0.009799
-0.024981,-0.187405,0.010301
-0.024978,-0.207505,-0.009799
-0.024974,-0.207505,-0.009799
-0.024971,-0.187405,-0.009799
-0.024968,-0.187405,-0.009799
-0.024965,-0.187405,-0.029900
-0.024962,-0.187405,-0.009799
-0.024958,-0.187405,-0.009799
-0.024955,-0.187405,0.010301
-0.024952,-0.187405,-0.009799
-0.024949,-0.187405,-0.009799
-0.024946,-0.187405,0.010301
-0.024942,-0.187405,-0.009799
-0.024939,-0.187405,-0.009799
-0.024936,-0.187405,-0.009799
-0.024933,-0.187405,0.010301
-0.024930,-0.187405,-0.009799
-0.024926,-0.187405,-0.009799
-0.024923,-0.187405,-0.009799
-0.024920,-0.207505,-0.009799
-0.024917,-0.187405,-0.009799
-0.024914,-0.187405,-0.009799
-0.024910,-0.187405,-0.009799
-0.024907,-0.187405,-0.009799
-0.024904,-0.187405,0.010301
-0.024901,-0.187405,-0.009799
-0.024898,-0.207505,-0.009799
-0.024894,-0.187405,-0.009799
-0.024891,-0.187405,-0.009799
-0.024888,-0.187405,-0.009799
-0.024885,-0.187405,-0.009799
-0.024882,-0.167304,-0.009799
-0.024878,-0.187405,-0.009799
-0.024875,-0.187405,-0.029900
-0.024872,-0.187405,-0.009799
-0.024869,-0.187405,-0.009799
-0.024866,-0.187405,-0.009799
-0.024862,-0.187405,-0.009799
-0.024859,-0.187405,-0.009799
-0.024856,-0.187405,-0.029900
-0.024853,-0.187405,-0.009799
-0.024850,-0.207505,-0.029900
-0.024846,-0.207505,-0.009799
-0.024843,-0.187405,-0.009799
-0.024840,-0.187405,-0.009799
-0.024837,-0.187405,-0.029900
-0.024834,-0.187405,-0.009799
-0.024830,-0.187405,-0.029900
-0.024827,-0.187405,-0.029900
-0.024824,-0.187405,-0.029900
-0.024821,-0.187405,-0.029900
-0.024818,-0.187405,-0.029900
-0.024814,-0.187405,-0.029900
-0.024811,-0.187405,-0.029900
-0.024808,-0.187405,-0.050000
-0.024805,-0.187405,-0.029900
-0.024802,-0.187405,-0.029900
-0.024798,-0.187405,-0.050000
-0.024795,-0.187405,-0.050000
-0.024792,-0.187405,-0.029900
-0.024789,-0.187405,-0.029900
-0.024786,-0.187405,-0.050000
-0.024782,-0.187405,-0.029900
-0.024779,-0.187405,-0.029900
-0.024776,-0.187405,-0.029900
-0.024773,-0.187405,-0.009799
-0.024770,-0.187405,-0.009799
-0.024766,-0.187405,-0.029900
-0.024763,-0.187405,-0.029900
-0.024760,-0.187405,-0.029900
-0.024757,-0.167304,-0.029900
-0.024754,-0.187405,-0.029900
-0.024750,-0.187405,-0.050000
-0.024747,-0.187405,-0.050000
-0.024744,-0.167304,-0.050000
-0.024741,-0.167304,-0.050000
-0.024738,-0.187405,-0.029900
-0.024734,-0.187405,-0.050000
-0.024731,-0.187405,-0.029900
-0.024728,-0.167304,-0.029900
-0.024725,-0.187405,-0.029900
-0.024722,-0.187405,-0.029900
-0.024718,-0.187405,-0.029900
-0.024715,-0.187405,-0.029900
-0.024712,-0.187405,-0.029900
-0.024709,-0.187405,-0.050000
-0.024706,-0.187405,-0.029900
-0.024702,-0.187405,-0.050000
-0.024699,-0.187405,-0.029900
-0.024696,-0.187405,-0.029900
-0.024693,-0.167304,-0.029900
-0.024690,-0.187405,-0.029900
-0.024686,-0.167304,-0.029900
-0.024683,-0.187405,-0.029900
-0.024680,-0.207505,-0.029900
-0.024677,-0.167304,-0.029900
-0.024674,-0.187405,-0.029900
-0.024670,-0.187405,-0.029900
-0.024667,-0.187405,-0.009799
-0.024664,-0.187405,-0.009799
-0.024661,-0.187405,-0.009799
-0.024658,-0.187405,-0.029900
-0.024654,-0.187405,-0.029900
-0.024651,-0.187405,-0.029900
-0.024648,-0.187405,-0.029900
-0.024645,-0.187405,-0.009799
-0.024642,-0.187405,-0.029900
-0.024638,-0.187405,-0.009799
-0.024635,-0.187405,-0.009799
-0.024632,-0.187405,-0.029900
-0.024629,-0.187405,-0.029900
-0.024626,-0.187405,-0.029900
-0.024622,-0.187405,-0.029900
-0.024619,-0.187405,-0.009799
-0.024616,-0.167304,-0.009799
-0.024613,-0.187405,-0.029900
-0.024610,-0.187405,-0.009799
-0.024606,-0.187405,-0.029900
-0.024603,-0.167304,-0.029900
-0.024600,-0.167304,-0.009799
-0.024597,-0.187405,-0.029900
-0.024594,-0.187405,-0.009799
-0.024590,-0.187405,-0.029900
-0.024587,-0.167304,-0.009799
-0.024584,-0.187405,-0.029900
-0.024581,-0.187405,-0.009799
-0.024578,-0.167304,-0.029900
-0.024574,-0.167304,-0.029900
-0.024571,-0.187405,-0.009799
-0.024568,-0.187405,-0.029900
-0.024565,-0.187405,-0.029900
-0.024562,-0.187405,-0.029900
-0.024558,-0.167304,-0.029900
-0.024555,-0.187405,-0.029900
-0.024552,-0.187405,-0.050000
-0.024549,-0.167304,-0.050000
-0.024546,-0.167304,-0.029900
-0.024542,-0.187405,-0.050000
-0.024539,-0.187405,-0.050000
-0.024536,-0.187405,-0.050000
-0.024533,-0.187405,-0.050000
-0.024530,-0.187405,-0.050000
-0.024526,-0.187405,-0.029900
-0.024523,-0.187405,-0.050000
-0.024520,-0.187405,-0.050000
-0.024517,-0.187405,-0.050000
-0.024514,-0.187405,-0.050000
-0.024510,-0.187405,-0.029900
-0.024507,-0.187405,-0.029900
-0.024504,-0.187405,-0.029900
-0.024501,-0.167304,-0.029900
-0.024498,-0.187405,-0.029900
-0.024494,-0.167304,-0.029900
-0.024491,-0.167304,-0.029900
-0.024488,-0.187405,-0.029900
-0.024485,-0.167304,-0.050000
-0.024482,-0.187405,-0.050000
-0.024478,-0.167304,-0.050000
-0.024475,-0.187405,-0.050000
-0.024472,-0.167304,-0.050000
-0.024469,-0.167304,-0.050000
-0.024466,-0.187405,-0.070101
-0.024462,-0.187405,-0.070101
-0.024459,-0.167304,-0.050000
-0.024456,-0.167304,-0.050000
-0.024453,-0.187405,-0.050000
-0.024450,-0.167304,-0.050000
-0.024446,-0.187405,-0.029900
-0.024443,-0.167304,-0.029900
-0.024440,-0.167304,-0.029900
-0.024437,-0.187405,-0.029900
-0.024434,-0.167304,-0.029900
-0.024430,-0.167304,-0.029900
-0.024427,-0.187405,-0.029900
-0.024424,-0.187405,-0.050000
-0.024421,-0.167304,-0.009799
-0.024418,-0.167304,-0.029900
-0.024414,-0.167304,-0.029900
-0.024411,-0.167304,-0.029900
-0.024408,-0.187405,-0.029900
-0.024405,-0.187405,-0.029900
-0.024402,-0.167304,-0.029900
-0.024398,-0.167304,-0.029900
-0.024395,-0.187405,-0.029900
-0.024392,-0.187405,-0.029900
-0.024389,-0.167304,-0.050000
-0.024386,-0.167304,-0.029900
-0.024382,-0.167304,-0.050000
-0.024379,-0.167304,-0.029900
-0.024376,-0.167304,-0.029900
-0.024373,-0.167304,-0.029900
-0.024370,-0.167304,-0.029900
-0.024366,-0.187405,-0.029900
-0.024363,-0.187405,-0.009799
-0.024360,-0.187405,-0.009799
-0.024357,-0.187405,-0.009799
-0.024354,-0.187405,-0.009799
-0.024350,-0.187405,-0.009799
-0.024347,-0.167304,-0.029900
-0.024344,-0.167304,-0.009799
-0.024341,-0.167304,-0.009799
-0.024338,-0.187405,-0.009799
-0.024334,-0.167304,-0.009799
-0.024331,-0.187405,-0.009799
-0.024328,-0.167304,-0.009799
-0.024325,-0.167304,-0.029900
-0.024322,-0.167304,-0.009799
-0.024318,-0.187405,-0.009799
-0.024315,-0.167304,-0.009799
-0.024312,-0.167304,-0.009799
-0.024309,-0.167304,-0.009799
-0.024306,-0.167304,-0.009799
-0.024302,-0.187405,-0.009799
-0.024299,-0.167304,0.010301
-0.024296,-0.167304,-0.029900
