# Bragg angle (deg)	Intensity (cps)
3.00	2.7
3.10	0.0
3.20	0.0
3.30	0.0
3.40	17.3
3.50	16.2
3.60	0.0
3.70	0.0
3.80	0.0
3.90	0.0
4.00	6.7
4.10	31.3
4.20	0.0
4.30	9.3
4.40	0.0
4.50	0.0
4.60	4.0
4.70	0.0
4.80	8.6
4.90	31.4
5.00	4.9
5.10	75.5
5.20	224.8
5.30	318.9
5.40	500.8
5.50	586.3
5.60	730.9
5.70	838.4
5.80	946.1
5.90	1108.3
6.00	1213.8
6.10	1332.2
6.20	1441.8
6.30	1587.3
6.40	1665.9
6.50	1778.9
6.60	1884.2
6.70	1993.8
6.80	2099.1
6.90	2202.9
7.00	2291.4
7.10	2406.9
7.20	2507.4
7.30	2594.2
7.40	2680.5
7.50	2780.6
7.60	2886.6
7.70	2989.8
7.80	3051.6
7.90	3179.5
8.00	3248.5
8.10	3319.6
8.20	3444.1
8.30	3527.4
8.40	3559.2
8.50	3698.3
8.60	3730.8
8.70	3811.0
8.80	3902.2
8.90	3996.3
9.00	4064.9
9.10	4140.7
9.20	4225.5
9.30	4292.9
9.40	4351.2
9.50	4401.8
9.60	4523.9
9.70	4574.2
9.80	4638.0
9.90	4683.8
10.00	4790.7
10.10	4817.8
10.20	4912.0
10.30	4955.2
10.40	5007.3
10.50	5139.9
10.60	5170.3
10.70	5231.2
10.80	5284.2
10.90	5353.1
11.00	5394.5
11.10	5509.6
11.20	5509.3
11.30	5585.6
11.40	5653.3
11.50	5722.8
11.60	5783.4
11.70	5815.2
11.80	5853.3
11.90	5897.2
12.00	5956.5
12.10	6039.1
12.20	6077.6
12.30	6141.0
12.40	6189.3
12.50	6253.0
12.60	6272.1
12.70	6319.8
12.80	6384.7
12.90	6428.6
13.00	6476.5
13.10	6517.8
13.20	6584.5
13.30	6580.0
13.40	6660.4
13.50	6726.6
13.60	6737.1
13.70	6803.2
13.80	6835.8
13.90	6873.5
14.00	6922.7
14.10	6944.8
14.20	6971.4
14.30	7038.6
14.40	7075.5
14.50	7107.1
14.60	7157.8
14.70	7190.2
14.80	7222.4
14.90	7260.1
15.00	7287.8
15.10	7355.7
15.20	7397.0
15.30	7416.6
15.40	7424.3
15.50	7457.3
15.60	7535.3
15.70	7541.1
15.80	7554.9
15.90	7593.8
16.00	7642.4
16.10	7677.9
16.20	7697.1
16.30	7774.7
16.40	7771.8
16.50	7783.7
16.60	7821.6
16.70	7861.9
16.80	7884.6
16.90	7898.0
17.00	7955.2
17.10	7978.5
17.20	7972.8
17.30	8009.7
17.40	8050.6
17.50	8115.4
17.60	8092.1
17.70	8143.4
17.80	8175.2
17.90	8188.5
18.00	8219.2
18.10	8250.7
18.20	8260.2
18.30	8299.1
18.40	8325.2
18.50	8333.0
18.60	8368.1
18.70	8384.4
18.80	8410.8
18.90	8461.6
19.00	8489.2
19.10	8489.6
19.20	8505.5
19.30	8528.5
19.40	8542.0
19.50	8593.8
19.60	8576.3
19.70	8627.2
19.80	8638.9
19.90	8676.5
20.00	8724.1
20.10	9256.3
20.20	10105.1
20.30	9481.6
20.40	8868.8
20.50	8769.0
20.60	8783.4
20.70	8818.1
20.80	8840.0
20.90	8889.8
21.00	8861.7
21.10	8891.5
21.20	8891.2
21.30	8937.7
21.40	8938.8
21.50	8965.8
21.60	9016.7
21.70	8987.9
21.80	9014.8
21.90	9023.4
22.00	9053.1
22.10	9055.8
22.20	9089.0
22.30	9263.3
22.40	11229.7
22.50	14569.2
22.60	12060.2
22.70	9477.9
22.80	9190.1
22.90	9169.2
23.00	9208.5
23.10	9241.1
23.20	9195.3
23.30	9244.5
23.40	9257.5
23.50	9260.9
23.60	9243.9
23.70	9296.4
23.80	9303.4
23.90	9324.1
24.00	9343.1
24.10	9327.3
24.20	9385.3
24.30	9409.1
24.40	9396.6
24.50	9385.3
24.60	9410.6
24.70	9454.7
24.80	9446.4
24.90	9461.9
25.00	9437.2
25.10	9457.8
25.20	9459.6
25.30	9479.5
25.40	9528.4
25.50	9503.8
25.60	9507.5
25.70	9519.2
25.80	9571.1
25.90	9552.1
26.00	9563.5
26.10	9579.7
26.20	9576.8
26.30	9589.6
26.40	9613.1
26.50	9605.5
26.60	9599.9
26.70	9628.7
26.80	9631.0
26.90	9632.0
27.00	9663.6
27.10	9681.5
27.20	9671.8
27.30	9675.0
27.40	9710.2
27.50	9696.1
27.60	9703.8
27.70	9726.8
27.80	9721.0
27.90	9712.1
28.00	9741.7
28.10	9759.8
28.20	9786.4
28.30	9757.6
28.40	9749.2
28.50	9777.2
28.60	9801.9
28.70	9807.2
28.80	9807.7
28.90	9806.0
29.00	9812.1
29.10	9817.2
29.20	9832.2
29.30	9863.7
29.40	9844.0
29.50	9852.9
29.60	9867.0
29.70	9860.4
29.80	9851.7
29.90	9860.8
30.00	9856.1
30.10	9898.1
30.20	9884.8
30.30	9907.5
30.40	9873.1
30.50	9910.1
30.60	9909.4
30.70	9923.8
30.80	9905.8
30.90	9911.3
31.00	9918.9
31.10	9910.8
31.20	9948.4
31.30	9969.4
31.40	9949.3
31.50	9946.0
31.60	9974.5
31.70	9976.3
31.80	9979.7
31.90	9985.2
32.00	9995.5
32.10	9989.2
32.20	9980.1
32.30	9963.2
32.40	10011.3
32.50	10010.7
32.60	10008.6
