# Bragg angle (deg)	Intensity (cps)
25.90	791.7
26.00	796.4
26.10	800.8
26.20	802.4
26.30	801.1
26.40	801.2
26.50	804.1
26.60	800.6
26.70	805.9
26.80	803.1
26.90	807.3
27.00	802.2
27.10	804.9
27.20	805.4
27.30	810.5
27.40	807.5
27.50	806.3
27.60	811.5
27.70	807.9
27.80	805.8
27.90	812.3
28.00	816.0
28.10	813.9
28.20	809.6
28.30	812.3
28.40	811.5
28.50	813.2
28.60	811.2
28.70	813.9
28.80	817.8
28.90	813.6
29.00	818.1
29.10	816.7
29.20	812.6
29.30	820.7
29.40	819.7
29.50	820.6
29.60	828.1
29.70	823.0
29.80	820.1
29.90	825.9
30.00	821.4
30.10	822.4
30.20	822.9
30.30	823.4
30.40	828.7
30.50	822.4
30.60	827.1
30.70	825.6
30.80	823.3
30.90	821.0
31.00	832.6
31.10	829.0
31.20	825.0
31.30	830.3
31.40	828.5
31.50	829.8
31.60	832.6
31.70	838.0
31.80	828.9
31.90	833.9
32.00	826.9
32.10	836.6
32.20	827.1
32.30	833.4
32.40	836.1
32.50	835.1
32.60	833.3
32.70	836.0
32.80	831.1
32.90	839.1
33.00	832.6
33.10	838.3
33.20	837.8
33.30	835.3
33.40	831.5
33.50	838.4
33.60	831.1
33.70	835.9
33.80	842.0
33.90	839.1
34.00	836.0
34.10	839.6
34.20	839.3
34.30	844.8
34.40	841.4
34.50	843.1
34.60	838.5
34.70	841.4
34.80	841.2
34.90	843.3
35.00	841.5
35.10	841.5
35.20	841.1
35.30	843.9
35.40	841.0
35.50	850.0
35.60	839.9
35.70	839.2
35.80	844.1
35.90	847.1
36.00	841.1
36.10	846.4
36.20	841.2
36.30	838.5
36.40	840.2
36.50	843.0
36.60	846.6
36.70	848.6
36.80	847.0
36.90	836.0
37.00	844.3
37.10	849.2
37.20	852.6
37.30	843.7
37.40	844.0
37.50	848.2
37.60	843.4
37.70	850.8
37.80	847.4
37.90	848.1
38.00	847.5
38.10	847.8
38.20	847.7
38.30	849.1
38.40	852.2
38.50	848.4
38.60	853.4
38.70	847.9
38.80	847.9
38.90	849.0
39.00	851.7
39.10	852.1
39.20	847.0
39.30	849.0
39.40	848.6
39.50	847.0
39.60	845.8
39.70	848.5
39.80	849.7
39.90	854.7
40.00	852.0
40.10	854.8
40.20	851.6
40.30	852.5
40.40	844.7
40.50	847.3
40.60	855.2
40.70	848.6
40.80	855.7
40.90	852.7
41.00	851.2
41.10	852.8
41.20	847.2
41.30	852.7
41.40	855.4
41.50	855.1
41.60	852.1
41.70	847.9
41.80	856.6
41.90	857.1
42.00	851.9
42.10	850.9
42.20	850.4
42.30	849.9
42.40	853.3
42.50	851.0
42.60	859.1
42.70	853.6
42.80	863.2
42.90	878.0
43.00	898.5
43.10	927.5
43.20	969.7
43.30	1018.2
43.40	1066.0
43.50	1123.6
43.60	1155.3
43.70	1168.6
43.80	1161.1
43.90	1128.2
44.00	1070.2
44.10	1021.4
44.20	970.3
44.30	928.2
44.40	898.9
44.50	876.3
44.60	866.6
44.70	861.4
44.80	854.1
44.90	852.8
45.00	852.0
45.10	855.3
45.20	855.2
45.30	851.1
45.40	852.6
45.50	859.5
45.60	852.7
45.70	848.9
45.80	855.4
45.90	853.1
46.00	855.9
46.10	856.2
46.20	854.8
46.30	854.7
46.40	852.3
46.50	853.0
46.60	852.9
46.70	858.3
46.80	852.9
46.90	852.8
47.00	852.5
47.10	856.0
47.20	851.4
47.30	854.8
47.40	854.7
47.50	855.5
47.60	853.3
47.70	851.9
47.80	848.2
47.90	851.0
48.00	858.5
48.10	855.7
48.20	859.0
48.30	854.1
48.40	848.5
48.50	852.2
48.60	851.9
48.70	852.8
48.80	855.5
48.90	864.6
49.00	878.0
49.10	908.2
49.20	962.4
49.30	1062.7
49.40	1190.6
49.50	1369.3
49.60	1580.7
49.70	1804.6
49.80	1986.1
49.90	2100.5
50.00	2121.3
50.10	2040.8
50.20	1883.5
50.30	1666.8
50.40	1446.7
50.50	1255.4
50.60	1101.8
50.70	996.8
50.80	930.8
50.90	892.6
51.00	866.8
51.10	854.4
51.20	857.0
51.30	853.0
51.40	855.0
51.50	847.8
51.60	851.5
51.70	855.5
51.80	854.5
51.90	855.3
52.00	853.4
52.10	857.6
52.20	853.3
52.30	852.7
52.40	851.6
52.50	849.9
52.60	855.5
52.70	853.5
52.80	857.1
52.90	855.6
53.00	853.6
53.10	851.3
53.20	854.4
53.30	855.4
53.40	855.2
53.50	855.9
53.60	854.2
53.70	857.2
53.80	856.1
53.90	847.1
54.00	854.0
54.10	854.1
54.20	852.6
54.30	851.3
54.40	845.2
54.50	850.1
54.60	849.9
54.70	851.4
54.80	849.8
54.90	854.4
55.00	853.5
55.10	851.8
55.20	852.1
55.30	855.9
55.40	851.3
55.50	857.8
55.60	852.1
55.70	852.6
55.80	853.0
55.90	849.3
56.00	853.8
56.10	849.7
56.20	855.8
56.30	849.6
56.40	847.1
56.50	850.1
56.60	844.1
56.70	848.4
56.80	847.5
56.90	853.5
57.00	855.7
57.10	849.5
57.20	850.4
57.30	850.8
57.40	850.4
57.50	849.4
57.60	847.8
57.70	846.6
57.80	845.6
57.90	847.9
58.00	851.7
58.10	846.8
58.20	849.6
58.30	848.9
58.40	845.4
58.50	853.1
58.60	851.1
58.70	848.0
58.80	852.1
58.90	849.8
59.00	849.6
59.10	847.7
59.20	848.2
59.30	847.0
59.40	846.3
59.50	848.1
59.60	846.9
59.70	848.6
59.80	846.4
59.90	847.3
60.00	853.9
60.10	850.8
60.20	846.1
60.30	849.4
60.40	848.7
60.50	849.4
60.60	843.5
60.70	851.5
60.80	845.0
60.90	851.0
61.00	849.1
61.10	844.1
61.20	846.9
61.30	849.8
61.40	850.5
61.50	846.8
61.60	845.5
61.70	851.5
61.80	846.8
61.90	850.1
62.00	845.9
62.10	844.7
62.20	851.5
62.30	842.4
62.40	847.0
62.50	851.8
62.60	845.7
62.70	847.7
62.80	854.4
62.90	849.0
63.00	848.0
63.10	847.9
63.20	847.7
63.30	845.8
63.40	848.3
63.50	848.0
63.60	843.4
63.70	841.9
63.80	842.5
63.90	847.0
64.00	844.7
64.10	849.8
64.20	843.9
64.30	844.4
64.40	846.9
64.50	848.6
64.60	843.8
64.70	846.4
64.80	849.4
64.90	844.8
65.00	848.8
65.10	843.5
65.20	846.2
65.30	849.6
65.40	843.9
65.50	841.0
65.60	846.1
65.70	843.3
65.80	849.1
65.90	852.1
66.00	843.8
66.10	847.1
66.20	838.3
66.30	848.2
66.40	841.6
66.50	842.3
66.60	847.0
66.70	849.1
66.80	844.6
66.90	843.7
67.00	842.8
67.10	840.3
67.20	844.4
67.30	843.5
67.40	846.0
67.50	846.5
67.60	841.1
67.70	841.5
67.80	841.3
67.90	841.6
68.00	842.9
68.10	846.7
68.20	845.8
68.30	843.4
68.40	838.6
68.50	840.0
68.60	839.7
68.70	844.9
68.80	842.3
68.90	846.9
69.00	841.8
69.10	844.2
69.20	844.7
69.30	841.5
69.40	843.1
69.50	840.3
69.60	845.3
69.70	839.2
69.80	844.1
69.90	843.6
70.00	842.8
70.10	844.4
70.20	841.3
70.30	835.9
70.40	843.8
70.50	841.9
70.60	843.6
70.70	840.8
70.80	837.6
70.90	841.7
71.00	840.5
71.10	847.1
71.20	844.7
71.30	842.9
71.40	846.2
71.50	834.1
71.60	841.2
71.70	837.6
71.80	840.8
71.90	845.5
72.00	842.4
72.10	842.4
72.20	843.8
72.30	839.3
72.40	844.2
72.50	845.2
72.60	839.2
72.70	846.2
72.80	844.8
72.90	844.6
73.00	839.7
73.10	841.9
73.20	839.1
73.30	844.6
73.40	841.1
73.50	841.4
73.60	846.5
73.70	839.4
73.80	842.0
73.90	840.4
74.00	836.7
74.10	838.8
74.20	842.3
74.30	844.9
74.40	836.4
74.50	838.4
74.60	839.6
74.70	841.2
74.80	837.4
74.90	842.8
75.00	838.8
