# Bragg angle (deg)	Intensity (cps)
3.00	0.0
3.10	0.0
3.20	0.0
3.30	0.5
3.40	0.0
3.50	0.0
3.60	0.7
3.70	0.0
3.80	0.0
3.90	0.0
4.00	0.0
4.10	0.0
4.20	0.0
4.30	1.3
4.40	0.2
4.50	0.0
4.60	0.0
4.70	0.0
4.80	0.0
4.90	3.5
5.00	0.6
5.10	5.9
5.20	12.8
5.30	28.3
5.40	40.2
5.50	48.9
5.60	61.9
5.70	73.9
5.80	77.1
5.90	90.8
6.00	104.9
6.10	111.8
6.20	118.2
6.30	132.3
6.40	142.8
6.50	150.2
6.60	157.5
6.70	166.0
6.80	171.8
6.90	186.0
7.00	197.2
7.10	202.4
7.20	206.4
7.30	220.2
7.40	221.1
7.50	232.1
7.60	241.2
7.70	249.2
7.80	255.2
7.90	268.5
8.00	274.3
8.10	277.2
8.20	278.2
8.30	289.4
8.40	299.2
8.50	307.4
8.60	311.6
8.70	319.0
8.80	315.1
8.90	331.0
9.00	338.6
9.10	344.5
9.20	351.8
9.30	352.3
9.40	358.9
9.50	366.4
9.60	372.6
9.70	376.7
9.80	384.5
9.90	393.3
10.00	403.0
10.10	404.4
10.20	409.2
10.30	416.1
10.40	422.9
10.50	424.5
10.60	430.3
10.70	439.3
10.80	444.4
10.90	443.1
11.00	454.0
11.10	453.4
11.20	463.6
11.30	470.5
11.40	470.9
11.50	475.8
11.60	479.7
11.70	486.6
11.80	487.0
11.90	493.0
12.00	496.1
12.10	501.9
12.20	507.6
12.30	514.6
12.40	517.4
12.50	522.2
12.60	524.0
12.70	533.9
12.80	529.6
12.90	536.8
13.00	537.5
13.10	541.9
13.20	548.1
13.30	551.1
13.40	552.1
13.50	562.8
13.60	560.4
13.70	565.1
13.80	565.4
13.90	568.6
14.00	579.8
14.10	574.6
14.20	582.7
14.30	583.2
14.40	587.5
14.50	594.6
14.60	595.7
14.70	601.6
14.80	604.4
14.90	605.2
15.00	603.1
15.10	610.4
15.20	617.7
15.30	618.1
15.40	621.9
15.50	624.6
15.60	622.1
15.70	629.1
15.80	633.8
15.90	629.4
16.00	631.6
16.10	639.5
16.20	638.2
16.30	646.5
16.40	649.1
16.50	648.4
16.60	653.1
16.70	658.6
16.80	654.2
16.90	662.0
17.00	662.4
17.10	669.8
17.20	659.8
17.30	664.0
17.40	669.1
17.50	673.6
17.60	677.1
17.70	679.3
17.80	682.2
17.90	682.6
18.00	688.6
18.10	687.7
18.20	689.1
18.30	690.7
18.40	692.3
18.50	696.9
18.60	696.9
18.70	702.1
18.80	700.4
18.90	707.1
19.00	708.2
19.10	708.7
19.20	712.3
19.30	743.3
19.40	774.3
19.50	827.1
19.60	913.2
19.70	1031.7
19.80	1176.1
19.90	1327.9
20.00	1473.7
20.10	1583.3
20.20	1627.8
20.30	1605.0
20.40	1505.3
20.50	1372.0
20.60	1219.7
20.70	1073.9
20.80	952.8
20.90	867.0
21.00	813.6
21.10	774.6
21.20	761.3
21.30	758.8
21.40	768.7
21.50	808.4
21.60	869.4
21.70	993.8
21.80	1211.3
21.90	1538.4
22.00	2002.6
22.10	2565.8
22.20	3191.5
22.30	3767.2
22.40	4182.7
22.50	4360.2
22.60	4246.2
22.70	3870.4
22.80	3315.5
22.90	2696.7
23.00	2118.0
23.10	1635.8
23.20	1281.4
23.30	1054.4
23.40	911.4
23.50	838.0
23.60	800.7
23.70	787.5
23.80	785.4
23.90	775.3
24.00	781.3
24.10	784.2
24.20	778.8
24.30	783.0
24.40	780.1
24.50	785.6
24.60	783.6
24.70	783.5
24.80	786.3
24.90	788.2
25.00	782.6
25.10	787.8
25.20	787.5
25.30	784.9
25.40	789.1
25.50	794.1
25.60	793.4
25.70	791.4
25.80	793.1
