# Bragg angle (deg)	Intensity (cps)
38.60	10186.6
38.70	10197.2
38.80	10200.3
38.90	10162.3
39.00	10209.3
39.10	10176.7
39.20	10184.8
39.30	10193.3
39.40	10219.0
39.50	10201.0
39.60	10232.7
39.70	10208.5
39.80	10213.1
39.90	10216.8
40.00	10220.8
40.10	10219.5
40.20	10212.0
40.30	10205.0
40.40	10231.7
40.50	10204.4
40.60	10196.0
40.70	10200.9
40.80	10214.1
40.90	10195.5
41.00	10240.7
41.10	10200.4
41.20	10216.9
41.30	10229.7
41.40	10227.0
41.50	10216.1
41.60	10244.0
41.70	10235.9
41.80	10235.7
41.90	10246.4
42.00	10218.3
42.10	10226.3
42.20	10240.4
42.30	10258.5
42.40	10207.7
42.50	10240.6
42.60	10239.0
42.70	10223.8
42.80	10237.6
42.90	10221.2
43.00	10214.1
43.10	10224.0
43.20	10257.0
43.30	10257.2
43.40	10363.5
43.50	10562.8
43.60	10937.8
43.70	11145.3
43.80	10974.4
43.90	10632.7
44.00	10393.6
44.10	10287.5
44.20	10254.5
44.30	10251.1
44.40	10260.3
44.50	10261.6
44.60	10256.6
44.70	10238.8
44.80	10221.1
44.90	10243.4
45.00	10252.5
45.10	10256.2
45.20	10282.4
45.30	10257.6
45.40	10243.3
45.50	10227.9
45.60	10230.6
45.70	10240.5
45.80	10266.1
45.90	10252.8
46.00	10250.4
46.10	10244.0
46.20	10239.6
46.30	10227.9
46.40	10249.0
46.50	10260.2
46.60	10269.5
46.70	10220.0
46.80	10252.3
46.90	10237.1
47.00	10265.2
47.10	10239.9
47.20	10249.0
47.30	10263.7
47.40	10248.8
47.50	10236.4
47.60	10256.2
47.70	10261.7
47.80	10242.2
47.90	10258.7
48.00	10237.6
48.10	10264.2
48.20	10247.1
48.30	10264.7
48.40	10262.1
48.50	10226.0
48.60	10277.4
48.70	10272.3
48.80	10250.7
48.90	10231.7
49.00	10224.5
49.10	10245.1
49.20	10260.3
49.30	10264.5
49.40	10239.6
49.50	10275.0
49.60	10418.8
49.70	10955.6
49.80	12134.8
49.90	13412.9
50.00	13725.1
50.10	12642.0
50.20	11296.3
50.30	10541.7
50.40	10294.2
50.50	10227.8
50.60	10246.5
50.70	10249.4
50.80	10227.3
50.90	10223.7
51.00	10228.2
51.10	10233.9
51.20	10234.4
51.30	10250.4
51.40	10261.3
51.50	10226.8
51.60	10228.2
51.70	10222.7
51.80	10221.3
51.90	10207.1
52.00	10209.9
52.10	10238.9
52.20	10224.4
52.30	10211.2
52.40	10228.3
52.50	10220.6
52.60	10267.5
52.70	10226.4
52.80	10247.3
52.90	10225.5
